sample_id,ngs_runid,duplicate_id,ngs_rundate,ngs_location,ngs_provider,ngs_submission,ngs_platform,primer_scheme,nanopore_platform,ngs_flowcell,illumina_platform,ngs_prep,ngs_barcode,ngs_library,ngs_analysis_type,ngs_merged_from,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,genbank_accession,consensus_coverage,consensus_fasta,ngs_notes,redcap_repeat_instrument,redcap_repeat_instance,redcap_data_access_group
Rab12/002,sangerN405,1,22/12/2016,APHA,,,Sanger,,Unknown,NA,Unknown,SangerPCR,NA,Pass,Single_run,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA, | TVLA;APHA,sequencing,1,east_africa
Rab102(D10-1429)1649,454_suspicious,1,26/07/2013,APHA,,,454,,Unknown,NA,Unknown,Metagenomic,,Pass,Single_run,,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,0,NA, | APHA;CVL,sequencing,1,east_africa
Rab12/001,apha_jan17,1,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,,Miseq,Metagenomic,,Pass,Single_run,,751076,2085,30.31133104,27.21238447,25,0,156,11860,11402,7197,631,,95.63029439,NA, | APHA,sequencing,1,east_africa
Rab12/002,apha_jan17,2,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,,Miseq,Metagenomic,,Pass,Single_run,,1093434,30793,679.0013419,167.1577206,691,1,1171,11923,11907,11898,11831,,99.86580559,NA, | APHA,sequencing,2,east_africa
Rab12/005,apha_jan17,1,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,,Miseq,Metagenomic,,Pass,Single_run,,1494738,22712,486.4267382,191.4472067,460,1,1072,11923,11918,11898,11889,,99.95806425,NA, | APHA,sequencing,1,east_africa
Rab12/039,apha_jan17,2,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,,Miseq,Metagenomic,,Pass,Single_run,,1139368,30035,655.4566804,276.6255381,601,1,1690,11923,11914,11898,11892,,99.92451564,NA, | APHA,sequencing,2,east_africa
Rab16/024,apha_jan17,2,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,,Miseq,Metagenomic,,Pass,Single_run,,1381478,42008,913.5986748,488.3392911,785,0,2963,11921,11914,11888,11828,,99.92451564,NA, | TVLA;APHA,sequencing,2,east_africa
Rab16/025,apha_jan17,2,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,NA,Miseq,Amplicon,,Pass,Single_run,,1771514,1741920,6971.289524,1605.330846,7787,0,8000,11862,11861,11861,11836,,99.47999665,NA,2step RT | TVLA;APHA,sequencing,2,east_africa
Rab16/025,apha_jan17,3,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,NA,Miseq,Metagenomic,,Pass,Single_run,,753363,9053,187.3479829,108.8579315,158,0,475,11920,11914,11887,8803,,99.92451564,NA, | TVLA;APHA,sequencing,3,east_africa
Rab16/025,apha_jan17,4,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,NA,Miseq,Amplicon,,Pass,Single_run,,1350814,1294153,3257.678353,3103.796812,2373,0,7998,11649,11144,10830,9079,,NA,NA,1step RT | TVLA;APHA,sequencing,4,east_africa
Rab16/025,apha_jan17,5,23/02/2017,APHA,,NGS_sub251_Jan17,Nanopore,,Minion,FNFAF14357,Unknown,Amplicon,none,Pass,Single_run,,54146,45726,675.5576617,296.7644854,653,0,1510,11880,11877,11868,11723,MN726826,NA,NA,RAB16/025: 2-STEP MINION | TVLA;APHA,sequencing,5,east_africa
Rab16/026,apha_jan17,2,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,,Miseq,Metagenomic,,Pass,Single_run,,1582985,4970,99.36593139,56.77707731,82,2,275,11923,11914,11568,4622,,99.92451564,NA, | TVLA;APHA,sequencing,2,east_africa
Rab16/027,apha_jan17,2,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,,Miseq,Metagenomic,,Pass,Single_run,,1167376,9676,216.7618888,147.8778675,167,0,787,11914,11912,11852,10154,,99.90774134,NA, | TVLA;APHA,sequencing,2,east_africa
Rab16/028,apha_jan17,2,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,,Miseq,Metagenomic,,Pass,Single_run,,930400,18318,402.4688417,177.6466099,366,1,1127,11923,11920,11911,11805,,99.97483855,NA, | TVLA;APHA,sequencing,2,east_africa
Rab16/029,apha_jan17,2,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,,Miseq,Metagenomic,,Pass,Single_run,,918068,18001,395.5563197,214.0171907,336,0,1242,11922,11914,11879,11754,,99.92451564,NA, | TVLA;APHA,sequencing,2,east_africa
Rab16/038,apha_jan17,1,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,,Miseq,Metagenomic,,Pass,Single_run,,622211,286,3.885096033,3.331192672,3,0,23,10555,4071,38,0,,34.14409125,NA, | TVLA;APHA,sequencing,1,east_africa
Rab3/11(D11-145)1656,454_suspicious,1,26/07/2013,APHA,,,454,,Unknown,NA,Unknown,Metagenomic,,Pass,Single_run,,869,869,19.57653275,7.938685273,19,0,39,11902,11781,5843,0,KR906751,98.80902457,NA, | APHA;CVL,sequencing,1,east_africa
SD180/ITUSDC0511,GA_dep,1,01/08/2012,APHA,,,454,,Unknown,NA,GAIIx,Metagenomic,,Pass,Single_run,,2964899,2861,18.65335905,6.884909143,17,2,43,11923,11889,4386,0,KY210229,99.71483687,NA, | APHA,sequencing,1,east_africa
SD185/MBKSDC0611,454amp,1,08/07/2012,APHA,,FT5146,454,,Unknown,NA,Unknown,Amplicon,,Pass,Single_run,,46362,8416,25.33506668,31.81878948,9,1,170,11923,8573,4000,401,KR906769,71.90304454,NA, | APHA,sequencing,1,east_africa
SD199/RGBSDC0711,GA_dep,1,01/08/2012,APHA,,,454,,Unknown,NA,GAIIx,Metagenomic,,Pass,Single_run,,2895563,34351,88.57946825,14.11354088,90,12,126,11923,11923,11906,2362,KY210238,100,NA, | APHA,sequencing,1,east_africa
SD203/MBRSDC0711,454amp,1,08/07/2012,APHA,,FT5146,454,,Unknown,NA,Unknown,Amplicon,,Pass,Single_run,,47566,15736,64.01585172,40.84150691,55,1,210,11923,11874,10559,2231,KY210242,99.58902961,NA, | APHA,sequencing,1,east_africa
SD210/RGBSDC0811,GA_dep,1,01/08/2012,APHA,,,454,,Unknown,NA,GAIIx,Metagenomic,,Pass,Single_run,,898252,49249,91.04587772,24.28782269,87,0,159,11883,11883,11858,2513,KR534247,99.66451396,NA, | APHA,sequencing,1,east_africa
SD294,deepSeq14,1,01/11/2014,APHA,,Submission 10 Tanz dogs and FTA card Tajik,Illumina,,Unknown,NA,Miseq,Metagenomic,,Pass,Single_run,,1006466,116911,2803.115827,1021.521424,2700,0,6120,11922,11914,11914,11865,,99.92451564,NA, | APHA,sequencing,1,east_africa
SD295,deepSeq14,1,01/11/2014,APHA,,Submission 10 Tanz dogs and FTA card Tajik,Illumina,,Unknown,NA,Miseq,Metagenomic,,Pass,Single_run,,2393978,119909,2868.590539,1251.546091,2603,3,6619,11923,11921,11914,11914,,99.9832257,NA, | APHA,sequencing,1,east_africa
SD296,deepSeq14,1,01/11/2014,APHA,,Submission 10 Tanz dogs and FTA card Tajik,Illumina,,Unknown,NA,Miseq,Metagenomic,,Pass,Single_run,,2242804,9779,230.1003942,197.2265336,152,0,997,11920,11906,11852,10274,,99.85741843,NA,corrected seq files mislabelled as sub3313 | APHA,sequencing,1,east_africa
SD379,deepSeq14,1,01/11/2014,APHA,,Submission 10 Tanz dogs and FTA card Tajik,Illumina,,Unknown,NA,Miseq,Metagenomic,,Pass,Single_run,,2228066,5039,114.1379686,99.78641847,74,2,532,11923,11920,11833,3578,,99.97483855,NA, | APHA,sequencing,1,east_africa
SD380,deepSeq14,1,01/11/2014,APHA,,Submission 10 Tanz dogs and FTA card Tajik,Illumina,,Unknown,NA,Miseq,Metagenomic,,Pass,Single_run,,1957128,11827,286.2172272,103.3468358,273,4,621,11923,11914,11898,11716,,99.92451564,NA, | APHA,sequencing,1,east_africa
SD381,deepSeq14,1,01/11/2014,APHA,,Submission 10 Tanz dogs and FTA card Tajik,Illumina,,Unknown,NA,Miseq,Metagenomic,,Pass,Single_run,,2129953,52238,1202.321731,691.5207068,990,33,3979,11923,11923,11923,11862,,100,NA, | APHA,sequencing,1,east_africa
SD382,deepSeq14,1,01/11/2014,APHA,,Submission 10 Tanz dogs and FTA card Tajik,Illumina,,Unknown,NA,Miseq,Metagenomic,,Pass,Single_run,,2481555,782,18.00930974,7.736561513,18,0,45,11891,11710,4963,0,,98.21353686,NA, | APHA,sequencing,1,east_africa
SD557,apha_jan17,1,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,,Miseq,Metagenomic,,Pass,Single_run,,296126,10390,178.7759792,121.6451627,149,0,656,11912,11896,11824,8515,,99.77354693,NA, | APHA,sequencing,1,east_africa
SD563,apha_jan17,1,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,,Miseq,Metagenomic,,Pass,Single_run,,1352684,59,0.787888954,1.025123556,0,0,5,5585,24,0,0,,0.201291621,NA, | APHA,sequencing,1,east_africa
SD575,apha_jan17,1,01/01/2017,APHA,,NGS_sub251_Jan17,Illumina,,Unknown,,Miseq,Metagenomic,,Pass,Single_run,,451360,3270,68.57686824,46.87156557,55,1,264,11923,11911,11285,2090,,99.89935419,NA, | APHA,sequencing,1,east_africa
Rab12/005,NGSMay18,2,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1482496,1,0.006374235,0.112733777,0,0,2,38,0,0,0,,0,NA,from poor magMax extraction | TVLA;APHA,sequencing,2,east_africa
Rab12/016,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,3532,5,0.072129498,0.258713059,0,0,1,860,0,0,0,,0,NA,from poor magMax extraction | TVLA;APHA,sequencing,1,east_africa
Rab12/066,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,2912,0,0,0,0,0,NA,NA,NA,NA,NA,,0,NA,from poor magMax extraction | TVLA;APHA,sequencing,1,east_africa
Rab16/024,NGSMay18,3,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,3758,0,0,0,0,0,NA,NA,NA,NA,NA,,0,NA,from poor magMax extraction | TVLA;APHA,sequencing,3,east_africa
Rab91(D10-867)1643,reference,1,NA,APHA,,,454,,Unknown,NA,Unknown,Metagenomic,,Pass,Single_run,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KF155002,0,NA, | APHA;CVL,sequencing,1,east_africa
SD557,NGSMay18,2,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,2964989,405,9.219323996,5.201633663,8,0,30,11751,9761,490,0,,81.86697979,NA, | APHA,sequencing,2,east_africa
SD557.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1836269,5,0.108026503,0.371215383,0,0,2,1041,0,0,0,,0,NA,SD557.2 | APHA,sequencing,1,east_africa
SD558,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,4137738,12214,240.6302944,122.7722213,198,0,675,11910,11880,11833,11511,,99.63935251,NA, | APHA,sequencing,1,east_africa
SD560,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,4141198,4301,90.68271408,40.87860834,83,0,220,11892,11835,11687,4313,,99.26193072,NA, | APHA,sequencing,1,east_africa
SD562,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1318611,2,0.036819592,0.262713346,0,0,2,239,0,0,0,,0,NA, | APHA,sequencing,1,east_africa
SD564,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,2224064,224,5.067768179,4.194655967,4,0,29,11015,5569,136,0,,46.70804328,NA, | APHA,sequencing,1,east_africa
SD565,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,3235828,0,0,0,0,0,NA,NA,NA,NA,NA,,0,NA, | APHA,sequencing,1,east_africa
SD571,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1771614,1655,38.67885599,15.98210641,37,0,80,11839,11703,10879,0,,98.15482681,NA, | APHA,sequencing,1,east_africa
SD572,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,3068817,685,15.01283234,10.20333879,12,0,55,11737,10737,3517,0,,90.05283905,NA, | APHA,sequencing,1,east_africa
SD572.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1097110,6,0.113478151,0.445810717,0,0,4,852,0,0,0,,0,NA,SD572.2 | APHA,sequencing,1,east_africa
SD574,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1986926,2541,58.24515642,23.18747472,53,0,128,11852,11815,11702,706,,99.0941877,NA, | APHA,sequencing,1,east_africa
SD575,NGSMay18,2,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1655158,71,1.538455087,1.73106063,1,0,10,7462,931,0,0,,7.808437474,NA, | APHA,sequencing,2,east_africa
SD576,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1767891,1980,43.22888535,44.88991023,21,0,179,11807,11734,6430,2360,,98.41482848,NA, | Glasgow;APHA,sequencing,1,east_africa
SD576.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,2401639,49,1.053510023,1.319331592,1,0,7,6292,460,0,0,,3.858089407,NA,SD576.2 | APHA,sequencing,1,east_africa
SD577,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1176595,503,11.49232576,5.192341797,11,0,28,11810,11142,904,0,,93.44963516,NA,SD577.2 | FIELD;APHA,sequencing,1,east_africa
SD577.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,2136696,0,0,0,0,0,NA,NA,NA,NA,NA,,0,NA,SD577 | FIELD;APHA,sequencing,1,east_africa
SD578,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1999408,0,0,0,0,0,NA,NA,NA,NA,NA,,0,NA, | APHA,sequencing,1,east_africa
SD579,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,2739048,124954,2155.559171,801.5881228,1995,0,4882,11903,11899,11849,11822,,99.79870838,NA, | APHA,sequencing,1,east_africa
SD580,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,2255958,16408,334.313344,146.4934828,307,0,1026,11899,11840,11828,11745,,99.30386648,NA, | APHA,sequencing,1,east_africa
SD580.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1820043,0,0,0,0,0,NA,NA,NA,NA,NA,,0,NA,SD580.2 | APHA,sequencing,1,east_africa
SD582,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1685286,1684,38.82932148,18.47034482,35,0,92,11826,11715,10606,0,,98.25547262,NA, | APHA,sequencing,1,east_africa
SD583,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,2272077,8002,177.1595236,68.68437777,167,0,365,11873,11857,11742,10791,,99.44644804,NA, | APHA,sequencing,1,east_africa
SD584,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,3708366,1072,23.85129581,8.293705548,24,0,51,11852,11736,8378,0,,98.43160278,NA, | APHA,sequencing,1,east_africa
SD585,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,3057246,7,0.156168749,0.576566216,0,0,5,1006,31,0,0,,0.260001677,NA, | APHA,sequencing,1,east_africa
SD586,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1486072,265,6.147529984,3.375453082,6,0,19,11631,7812,0,0,,65.52042271,NA, | APHA,sequencing,1,east_africa
SD587,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1780088,2921,67.01459364,29.35949862,64,0,169,11848,11746,11559,1760,,98.51547429,NA, | APHA,sequencing,1,east_africa
SD590,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1618148,3127,71.74796612,29.06206681,70,0,144,11914,11818,11604,2276,,99.11934916,NA, | APHA,sequencing,1,east_africa
SD591,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,2113210,544,12.34454416,8.769937922,10,0,49,11745,10142,2217,0,,85.06248427,NA, | APHA,sequencing,1,east_africa
SD591.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,996947,0,0,0,0,0,NA,NA,NA,NA,NA,,0,NA,SD591.2 | APHA,sequencing,1,east_africa
SD594,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,3065463,6456,135.9571417,59.67107535,126,0,345,11912,11834,11755,8105,,99.25354357,NA, | APHA,sequencing,1,east_africa
SD594.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1167903,1,0.025329196,0.157129559,0,0,1,302,0,0,0,,0,NA,SD594.2 | APHA,sequencing,1,east_africa
SD595,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1778610,336,8.074058542,4.83422213,7,0,24,11621,8859,246,0,,74.30176969,NA, | APHA,sequencing,1,east_africa
SD595.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1158677,2112,49.08504571,15.17227516,49,0,103,11905,11843,11666,10,,99.32902793,NA,SD595.2 | APHA,sequencing,1,east_africa
SD596,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1872093,125,2.840057033,2.399812468,2,0,11,10489,2779,0,0,,23.30789231,NA, | APHA,sequencing,1,east_africa
SD596.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1104028,0,0,0,0,0,NA,NA,NA,NA,NA,,0,NA,SD596.2 | APHA,sequencing,1,east_africa
SD597,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,3577421,0,0,0,0,0,NA,NA,NA,NA,NA,,0,NA,SD597.2 | APHA,sequencing,1,east_africa
SD597.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1316745,0,0,0,0,0,NA,NA,NA,NA,NA,,0,NA,SD597 | APHA,sequencing,1,east_africa
SD598,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1135052,83057,1397.18435,454.4868459,1350,0,3019,11921,11920,11882,11836,,99.97483855,NA, | APHA,sequencing,1,east_africa
SD598.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,2363042,5563,120.3958735,36.55755388,117,0,243,11889,11872,11803,8561,,99.5722553,NA,SD598.2 | APHA,sequencing,1,east_africa
SD599,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,613023,2476,43.59246834,15.23079396,43,0,101,11840,11827,11494,2,,99.19483352,NA, | APHA,sequencing,1,east_africa
SD599.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,2803194,1398,30.0780005,10.65588332,29,0,73,11893,11814,10296,0,,99.08580055,NA,SD599.2 | APHA,sequencing,1,east_africa
SD600,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,2101537,5,0.115407196,0.385659706,0,0,2,1098,0,0,0,,0,NA, | APHA,sequencing,1,east_africa
SD601,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1598301,1644,35.33800218,11.53965851,35,0,70,11807,11777,11221,0,,98.77547597,NA, | FIELD;APHA,sequencing,1,east_africa
SD602,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,2688619,157830,2735.720708,859.8361901,2775,0,5260,11914,11895,11858,11821,,99.76515978,NA, | APHA,sequencing,1,east_africa
SD603,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,2356779,190542,2998.34488,1037.577094,2883,0,6552,11902,11874,11851,11833,,99.58902961,NA, | APHA,sequencing,1,east_africa
SD604,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1791800,1846,42.50012581,16.12892288,42,0,91,11862,11688,11151,0,,98.02901954,NA, | APHA,sequencing,1,east_africa
SD605.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1817723,4,0.069948838,0.335964619,0,0,4,622,0,0,0,,0,NA,SD605.2 | APHA,sequencing,1,east_africa
SD609.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1210709,0,0,0,0,0,NA,NA,NA,NA,NA,,0,NA,SD609.2 | APHA,sequencing,1,east_africa
SD610.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1557669,5,0.104587772,0.353355123,0,0,2,1061,0,0,0,,0,NA,SD610.2 | APHA,sequencing,1,east_africa
SD626.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1316040,202,4.693533507,2.670179463,4,0,14,11603,5883,0,0,,49.34160866,NA,SD626 | APHA,sequencing,1,east_africa
SD627.sg,NGSMay18,1,01/05/2018,APHA,,BTF856,Illumina,,Unknown,NA,Nextseq,Metagenomic,,Pass,Single_run,,1400555,579,13.3423635,4.855887184,13,0,30,11811,11592,1109,0,,97.22385306,NA,SD627.2 | APHA,sequencing,1,east_africa
