sample_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_data_access_group,sample_labid,sample_sequenceid,sample_batchid,apha_sub,apha_rv,sample_tissuetype,sample_buffer,country,hmpcr_n405,rtassay,rtqpcr,lateral_flow_test,fat,drit,diagnostic_result,test_centre,diag_notes,diagnostic_complete,ngs_runid,duplicate_id,ngs_rundate,ngs_location,ngs_provider,ngs_submission,ngs_platform,primer_scheme,nanopore_platform,ngs_flowcell,illumina_platform,ngs_prep,ngs_barcode,ngs_library,ngs_analysis_type,ngs_merged_from,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,negative_control_sample,genbank_accession,consensus_coverage,consensus_fasta,ngs_notes,sequencing_complete
4B-22-16,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run4_22,1,15/11/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAU43236,,Amplicon,barcode74,,Single_run,,26648,26648,1017.625796,505.1991345,946.5,0,2672,11899,11850,11676,11669,No,NA,11562,4B-22-16__run4_22__instance1.fasta,,2
4B-22-17,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-17,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run4_22,1,15/11/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAU43236,,Amplicon,barcode75,,Single_run,,21960,21960,955.9657224,429.9373452,901.5,0,2094,11890,11885,11810,11672,No,NA,11585,4B-22-17__run4_22__instance1.fasta,,2
4B-22-20,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-20,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run4_22,1,15/11/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAU43236,,Amplicon,barcode76,,Single_run,,33322,33322,1599.80942,685.766919,1571.5,0,3643,11887,11885,11677,11675,No,NA,11561,4B-22-20__run4_22__instance1.fasta,,2
4B-22-21,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-21,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run4_22,1,15/11/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAU43236,,Amplicon,barcode77,,Single_run,,24534,24534,1056.348978,460.411182,1028,0,2303,11895,11884,11678,11673,No,NA,11548,4B-22-21__run4_22__instance1.fasta,,2
4B-22-28,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-28,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run4_22,1,15/11/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAU43236,,Amplicon,barcode78,,Single_run,,56494,56494,2079.418622,1040.828883,1933,0,5278,11895,11885,11685,11673,No,NA,11598,4B-22-28__run4_22__instance1.fasta,,2
4B-22-30,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-30,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run4_22,1,15/11/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAU43236,,Amplicon,barcode79,,Single_run,,10620,10620,702.6354341,238.615899,697,0,1310,11886,11881,11676,11673,No,NA,11463,4B-22-30__run4_22__instance1.fasta,,2
4B-22-31,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-31,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run5_22,1,11/12/22,RITM,,,Nanopore,rabvSEasia,Minion,FAU03787,,Amplicon,barcode66,,Single_run,,44618,44618,1499.413761,964.4141396,1349,0,4205,11885,11859,11754,11355,No,NA,11583,4B-22-31__run5_22__instance1.fasta,,2
4B-22-35,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-35,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run5_22,1,11/12/22,RITM,,,Nanopore,rabvSEasia,Minion,FAU03787,,Amplicon,barcode67,,Single_run,,43499,43499,1513.779836,952.2034976,1354.5,0,4453,11689,11678,11677,11245,No,NA,11584,4B-22-35__run5_22__instance1.fasta,,2
4B-22-37,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-37,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run10_23,1,2/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAU43074,,Amplicon,barcode14,,Single_run,,42907,42907,1589.750251,788.4247775,1505,0,3466,11787,11676,11676,11676,No,PP858772,11592,4B-22-37__run10_23__instance1.fasta,,2
4B-22-39,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-39,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run10_23,1,2/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAU43074,,Amplicon,barcode15,,Single_run,,41968,41968,1449.961197,851.9478314,1259.5,0,3429,11712,11678,11676,11370,No,PP858770,11595,4B-22-39__run10_23__instance1.fasta,,2
4B-22-40,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-40,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run5_22,1,11/12/22,RITM,,,Nanopore,rabvSEasia,Minion,FAU03787,,Amplicon,barcode68,,Single_run,,39734,39734,1695.100067,803.4751974,1673,0,4073,11890,11885,11677,11676,No,NA,11572,4B-22-40__run5_22__instance1.fasta,,2
4B-22-41,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-41,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run5_22,1,11/12/22,RITM,,,Nanopore,rabvSEasia,Minion,FAU03787,,Amplicon,barcode69,,Single_run,,63086,63086,2082.013326,1327.846029,1920.5,0,5888,11686,11685,11482,11172,No,PP858764,11274,4B-22-41__run5_22__instance1.fasta,,2
4B-22-42,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-42,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run5_22,1,11/12/22,RITM,,,Nanopore,rabvSEasia,Minion,FAU03787,,Amplicon,barcode70,,Single_run,,80686,80686,2841.937395,1516.863432,2763,0,6819,11829,11710,11684,11676,No,PP858775,11603,4B-22-42__run5_22__instance1.fasta,,2
4B-22-44,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-44,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run10_23,1,2/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAU43074,,Amplicon,barcode16,,Single_run,,73209,73209,2364.5176,1418.94092,2217,0,6259,11865,11698,11677,11668,No,PP858754,11595,4B-22-44__run10_23__instance1.fasta,,2
4B-22-45,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-45,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run10_23,1,2/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAU43074,,Amplicon,barcode17,,Single_run,,60931,60931,1958.844703,1171.851007,1813,0,5036,11702,11684,11677,11496,No,PP858773,11591,4B-22-45__run10_23__instance1.fasta,,2
4B-22-114,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-114,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run3_21,1,17/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67614,,Amplicon,barcode26,,Single_run,,73511,73511,3115.181864,1293.109941,2984,0,6372,11887,11886,11885,11873,No,NA,11792,4B-22-114__run3_21__instance1.fasta,,2
4B-23-01,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-01,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode71,,Single_run,,148701,148701,5251.437395,2650.492012,4972,0,13542,11898,11784,11678,11676,No,PP858753,11599,4B-23-01__run12_23__instance1.fasta,,2
4B-23-02,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-02,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode72,,Single_run,,56689,56689,2863.912085,1190.82322,2785,0,6053,11891,11777,11677,11676,No,PP858752,11597,4B-23-02__run12_23__instance1.fasta,,2
4B-23-03,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-03,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode73,,Single_run,,71238,71238,2897.844368,1434.011117,2809,0,6846,11893,11886,11884,11676,No,PP858771,11807,4B-23-03__run12_23__instance1.fasta,,2
4B-23-04,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-04,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode74,,Single_run,,115937,115937,4400.248408,2205.341577,4264,0,11035,11899,11887,11884,11676,No,PP858765,11804,4B-23-04__run12_23__instance1.fasta,,2
4B-23-05,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-05,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode75,,Single_run,,63730,63730,2266.908314,1252.288002,2183,0,5680,11893,11793,11699,11676,No,PP858750,11588,4B-23-05__run12_23__instance1.fasta,,2
4B-23-06,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-06,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode76,,Single_run,,22835,22835,1031.598475,530.3200312,926,0,2574,11733,11678,11676,11672,No,PP858749,11596,4B-23-06__run12_23__instance1.fasta,,2
4B-23-07,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-07,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode77,,Single_run,,21344,21344,883.6055146,488.8536643,784,0,2122,11886,11777,11677,11671,No,PP858755,11596,4B-23-07__run12_23__instance1.fasta,,2
4B-23-11,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-11,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode78,,Single_run,,97843,97843,4284.652447,1887.091052,4294,0,9284,11894,11866,11712,11676,No,PP858763,11596,4B-23-11__run12_23__instance1.fasta,,2
4B-23-12,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-12,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode79,,Single_run,,5356,5356,209.0664599,95.58894212,208,0,473,11881,11677,11676,9940,No,PP858757,11593,4B-23-12__run12_23__instance1.fasta,,2
4B-23-13,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-13,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode80,,Single_run,,72962,72962,2447.54534,1698.6457,2115.5,0,7764,11814,11716,11681,11488,No,PP858758,11598,4B-23-13__run12_23__instance1.fasta,,2
4B-23-15,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-15,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode81,,Single_run,,68151,68151,2674.935049,1361.523071,2493,0,6541,11895,11783,11681,11676,No,PP858760,11591,4B-23-15__run12_23__instance1.fasta,,2
4B-23-16,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-16,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode82,,Single_run,,79568,79568,3032.704911,1580.393229,2876.5,0,7403,11892,11789,11708,11675,No,PP858768,11595,4B-23-16__run12_23__instance1.fasta,,2
4B-23-17,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-17,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode83,,Single_run,,54399,54399,3176.05171,1174.478951,3170,0,6162,11898,11782,11677,11676,No,PP858774,11593,4B-23-17__run12_23__instance1.fasta,,2
4B-23-19,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-23-19,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode84,,Single_run,,99762,99762,3882.936557,2003.076178,3842.5,0,9493,11890,11780,11686,11676,No,PP858756,11594,4B-23-19__run12_23__instance1.fasta,,2
4B-2422,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-2422,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode07,,Single_run,,79772,79772,2890.355263,1512.341566,2610,0,7091,11695,11679,11676,11658,No,NA,11595,4B-2422__run5_21__instance1.fasta,,2
4B-2922HM,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-2922HM,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode08,,Single_run,,46432,46432,2460.547938,872.1687536,2397,0,4479,11896,11886,11885,11676,No,NA,11785,4B-2922HM__run5_21__instance1.fasta,,2
4B-2922JG,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-2922JG,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode09,,Single_run,,70209,70209,3349.604593,1238.131459,3151,0,6344,11894,11887,11886,11885,No,NA,11782,4B-2922JG__run5_21__instance1.fasta,,2
4B-21622,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21622,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode10,,Single_run,,55046,55046,2703.92055,988.5056001,2559,0,5161,11903,11888,11886,11885,No,NA,11780,4B-21622__run5_21__instance1.fasta,,2
14,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run2_21,1,29/10/2021,RITM,,,Nanopore,rabvSEasia,Minion,FAQ75669,,Amplicon,barcode03,,Single_run,,210965,210965,7361.692508,3747.191029,6960.5,0,17037,11892,11889,11676,11676,No,NA,11588,14__run2_21__instance1.fasta,,2
19-30,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-30,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run2_21,1,29/10/2021,RITM,,,Nanopore,rabvSEasia,Minion,FAQ75669,,Amplicon,barcode23,,Single_run,,123570,123570,4143.805481,2115.262279,3821,0,9692,11887,11884,11677,11676,No,NA,11590,19-30__run2_21__instance1.fasta,,2
19-40,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-40,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run2_21,1,29/10/2021,RITM,,,Nanopore,rabvSEasia,Minion,FAQ75669,,Amplicon,barcode24,,Single_run,,125074,125074,4173.567214,2181.03051,3793,0,10132,11903,11886,11885,11730,No,NA,11799,19-40__run2_21__instance1.fasta,,2
153,,,philippines,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,sequencing,1,philippines,,,,,,,,,,,,,,,,,,,run2_21,1,29/10/2021,RITM,,,Nanopore,rabvSEasia,Minion,FAQ75669,,Amplicon,barcode04,,Single_run,,339786,339786,11689.50805,5833.876067,10659,0,27363,11900,11894,11677,11676,No,NA,11597,153__run2_21__instance1.fasta,,2
2010818843,,,east_africa,3,3,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010818843,sequencing,1,east_africa,,,,,,,,,,,,,,,,,,,unitid_7th_Aug_2019,1,7/8/19,,MinIon,,0,,,,,,3,0,,,15108,15108,460.1398977,467.1812246,315,0,2222,11629,11474,10390,7849,,OR920350,8423,2010818843.fasta,,2
